set	contrast	estimate	se	lower	upper	p
HALLMARK_ANGIOGENESIS	pooled_response_arm_adjusted	-0.09177367125761	0.0499307292353246	-0.19158377682373	0.00803643430850963	0.0708513477009093
HALLMARK_ANGIOGENESIS	arm_response_interaction	0.0156236015395357	0.106511629226867	-0.197359564338745	0.228606767417816	0.883864789908666
HALLMARK_APICAL_JUNCTION	Placebo_within_change	0.000247959280503106	0.0220453206862422	-0.0454712375640021	0.0459671561250083	0.991127194415667
HALLMARK_APICAL_JUNCTION	Placebo_response_difference	0.01142482353755	0.0473100217886607	-0.0869617527685171	0.109811399843617	0.811518948087038
HALLMARK_APICAL_JUNCTION	golimumab_within_change	-0.0383018110220279	0.0174954192944875	-0.0736345270822959	-0.00296909496175984	0.0343273351187383
HALLMARK_APICAL_JUNCTION	golimumab_response_difference	-0.0148681607851474	0.0357153518982869	-0.0870515795629034	0.0573152579926087	0.679418697303416
HALLMARK_APICAL_JUNCTION	GLM_minus_Placebo	-0.038549770302531	0.0281440199767052	-0.0951315595533636	0.0180320189483017	0.177120375371756
HALLMARK_APICAL_JUNCTION	pooled_response_arm_adjusted	-0.00601956029193191	0.0283482876954989	-0.0626869799519019	0.0506478593680381	0.832536027755044
HALLMARK_APICAL_JUNCTION	arm_response_interaction	-0.0262929843226972	0.0603891280402438	-0.147048509029248	0.0944625403838535	0.664814151634544
HALLMARK_APICAL_SURFACE	Placebo_within_change	-0.0184528540131928	0.0203153752646699	-0.0605843636389552	0.0236786556125697	0.373552603870694
HALLMARK_APICAL_SURFACE	Placebo_response_difference	0.000187442229605028	0.0436579726471677	-0.0906042821201873	0.0909791665793974	0.996614878064438
HALLMARK_APICAL_SURFACE	golimumab_within_change	-0.0103206627379634	0.0121962174493617	-0.0349514235613614	0.0143100980854346	0.402343032865113
HALLMARK_APICAL_SURFACE	golimumab_response_difference	-0.032488216208318	0.0244168810847852	-0.0818365736768121	0.0168601412601761	0.190868546945907
HALLMARK_APICAL_SURFACE	GLM_minus_Placebo	0.00813219127522936	0.0236951934412124	-0.0398336171017331	0.0560979996521919	0.733336387350314
