Package	Version	LibPath
memoise	2.0.1	/usr/local/lib/R/site-library
MendelianRandomization	0.10.0	/usr/local/lib/R/site-library
metadat	1.4-0	/usr/local/lib/R/site-library
metafor	4.8-0	/usr/local/lib/R/site-library
metapod	1.10.1	/usr/local/lib/R/site-library
methylumi	2.48.0	/usr/local/lib/R/site-library
mets	1.3.9	/usr/local/lib/R/site-library
microbenchmark	1.5.0	/usr/local/lib/R/site-library
mime	0.13	/usr/local/lib/R/site-library
minfi	1.48.0	/usr/local/lib/R/site-library
miniUI	0.1.2	/usr/local/lib/R/site-library
minpack.lm	1.2-4	/usr/local/lib/R/site-library
minqa	1.2.8	/usr/local/lib/R/site-library
miscTools	0.6-30	/usr/local/lib/R/site-library
missMethyl	1.36.0	/usr/local/lib/R/site-library
mitools	2.4	/usr/local/lib/R/site-library
mixOmics	6.26.0	/usr/local/lib/R/site-library
mixsqp	0.3-54	/usr/local/lib/R/site-library
mixtools	2.0.0.1	/usr/local/lib/R/site-library
mlr	2.19.3	/usr/local/lib/R/site-library
mlrMBO	1.1.6	/usr/local/lib/R/site-library
mMCPcounter	1.1.0	/usr/local/lib/R/site-library
mnormt	2.1.2	/usr/local/lib/R/site-library
modelbased	0.14.0	/usr/local/lib/R/site-library
ModelMetrics	1.2.2.2	/usr/local/lib/R/site-library
modelr	0.1.11	/usr/local/lib/R/site-library
modeltools	0.2-24	/usr/local/lib/R/site-library
modules	0.13.0	/usr/local/lib/R/site-library
MOFA2	1.12.1	/usr/local/lib/R/site-library
mogsa	1.34.0	/usr/local/lib/R/site-library
monocle3	1.4.26	/usr/local/lib/R/site-library
MOVICS	0.99.17	/usr/local/lib/R/site-library
MRInstruments	0.3.2	/usr/local/lib/R/site-library
MRMix	0.1.0	/usr/local/lib/R/site-library
MRPRESSO	1.0	/usr/local/lib/R/site-library
msigdbr	26.1.0	/usr/local/lib/R/site-library
multcomp	1.4-30	/usr/local/lib/R/site-library
MultiAssayExperiment	1.28.0	/usr/local/lib/R/site-library
multtest	2.58.0	/usr/local/lib/R/site-library
MVMR	0.4.8	/usr/local/lib/R/site-library
mvtnorm	1.3-6	/usr/local/lib/R/site-library
NbClust	3.0.1	/usr/local/lib/R/site-library
network	1.20.0	/usr/local/lib/R/site-library
nhanesA	1.4.1	/usr/local/lib/R/site-library
nichenetr	2.2.1.1	/usr/local/lib/R/site-library
nleqslv	3.3.7	/usr/local/lib/R/site-library
nloptr	2.2.1	/usr/local/lib/R/site-library
NMF	0.28	/usr/local/lib/R/site-library
nor1mix	1.3-3	/usr/local/lib/R/site-library
nortest	1.0-4	/usr/local/lib/R/site-library
numDeriv	2016.8-1.1	/usr/local/lib/R/site-library
officer	0.7.4.002	/usr/local/lib/R/site-library
OmnipathR	3.10.1	/usr/local/lib/R/site-library
oncoPredict	1.2	/usr/local/lib/R/site-library
oompaBase	3.2.9	/usr/local/lib/R/site-library
oompaData	3.1.3	/usr/local/lib/R/site-library
openssl	2.3.5	/usr/local/lib/R/site-library
org.Hs.eg.db	3.18.0	/usr/local/lib/R/site-library
org.Mm.eg.db	3.18.0	/usr/local/lib/R/site-library
otel	0.2.0	/usr/local/lib/R/site-library
packrat	0.9.3	/usr/local/lib/R/site-library
pak	0.9.3	/usr/local/lib/R/site-library
pals	1.10	/usr/local/lib/R/site-library
pamr	1.57	/usr/local/lib/R/site-library
parallelDist	0.2.7	/usr/local/lib/R/site-library
parallelly	1.46.1	/usr/local/lib/R/site-library
parallelMap	1.5.1	/usr/local/lib/R/site-library
parameters	0.28.3	/usr/local/lib/R/site-library
ParamHelpers	1.14.2	/usr/local/lib/R/site-library
patchwork	1.3.2	/usr/local/lib/R/site-library
pbapply	1.7-4	/usr/local/lib/R/site-library
pbivnorm	0.6.0	/usr/local/lib/R/site-library
pbkrtest	0.5.5	/usr/local/lib/R/site-library
pbmcapply	1.5.1	/usr/local/lib/R/site-library
pdftools	3.7.0	/usr/local/lib/R/site-library
performance	0.16.0	/usr/local/lib/R/site-library
permute	0.9-10	/usr/local/lib/R/site-library
pheatmap	1.0.13	/usr/local/lib/R/site-library
phyclust	0.1-34	/usr/local/lib/R/site-library
pillar	1.11.1	/usr/local/lib/R/site-library
PINSPlus	2.0.9	/usr/local/lib/R/site-library
pkgbuild	1.4.8	/usr/local/lib/R/site-library
pkgconfig	2.0.3	/usr/local/lib/R/site-library
pkgdown	2.2.0	/usr/local/lib/R/site-library
pkgload	1.5.1	/usr/local/lib/R/site-library
plotly	4.12.0	/usr/local/lib/R/site-library
plotrix	3.8-14	/usr/local/lib/R/site-library
pls	2.9-0	/usr/local/lib/R/site-library
plyr	1.8.9	/usr/local/lib/R/site-library
png	0.1-9	/usr/local/lib/R/site-library
polyclip	1.10-7	/usr/local/lib/R/site-library
polynom	1.4-1	/usr/local/lib/R/site-library
prabclus	2.3-5	/usr/local/lib/R/site-library
pracma	2.4.6	/usr/local/lib/R/site-library
praise	1.0.0	/usr/local/lib/R/site-library
preprocessCore	1.62.1	/usr/local/lib/R/site-library
presto	1.0.0	/usr/local/lib/R/site-library
prettydoc	0.4.1	/usr/local/lib/R/site-library
prettyGraphs	2.2.0	/usr/local/lib/R/site-library
prettyunits	1.2.0	/usr/local/lib/R/site-library
princurve	2.1.6	/usr/local/lib/R/site-library
pROC	1.19.0.1	/usr/local/lib/R/site-library
processx	3.8.7	/usr/local/lib/R/site-library
prodlim	2026.03.11	/usr/local/lib/R/site-library
profvis	0.4.0	/usr/local/lib/R/site-library
progress	1.2.3	/usr/local/lib/R/site-library
progressr	0.19.0	/usr/local/lib/R/site-library
promises	1.5.0	/usr/local/lib/R/site-library
ProtGenerics	1.34.0	/usr/local/lib/R/site-library
proto	1.0.0	/usr/local/lib/R/site-library
proxy	0.4-29	/usr/local/lib/R/site-library
ps	1.9.2	/usr/local/lib/R/site-library
pscl	1.5.9	/usr/local/lib/R/site-library
psych	2.6.3	/usr/local/lib/R/site-library
Publish	2025.07.24	/usr/local/lib/R/site-library
